date,AAPL,MSFT
20-01-2012,60.04,29.71
23-01-2012,61.06,29.73
24-01-2012,60.06,29.34
25-01-2012,63.81,29.56
26-01-2012,63.52,29.5
27-01-2012,63.9,29.23
30-01-2012,64.72,29.61
31-01-2012,65.21,29.53
01-02-2012,65.17,29.89
02-02-2012,65.02,29.95
03-02-2012,65.67,30.24
06-02-2012,66.28,30.2
07-02-2012,66.98,30.35
08-02-2012,68.1,30.66
09-02-2012,70.45,30.77
10-02-2012,70.49,30.5
13-02-2012,71.8,30.58
14-02-2012,72.78,30.25
15-02-2012,71.1,30.05
16-02-2012,71.74,31.28
17-02-2012,71.73,31.25
21-02-2012,73.55,31.44
22-02-2012,73.29,31.27
23-02-2012,73.77,31.37
24-02-2012,74.63,31.48
27-02-2012,75.11,31.35
28-02-2012,76.49,31.87
29-02-2012,77.49,31.74
01-03-2012,77.78,32.29
02-03-2012,77.88,32.08
05-03-2012,76.17,31.8
06-03-2012,75.75,31.56
07-03-2012,75.81,31.84
08-03-2012,77.43,32.01
09-03-2012,77.88,31.99
12-03-2012,78.86,32.04
13-03-2012,81.16,32.67
14-03-2012,84.23,32.77
15-03-2012,83.65,32.85
16-03-2012,83.65,32.6
19-03-2012,85.87,32.2
20-03-2012,86.57,31.99
21-03-2012,86.07,31.91
22-03-2012,85.62,32
23-03-2012,85.15,32.01
26-03-2012,86.71,32.59
27-03-2012,87.78,32.52
28-03-2012,88.23,32.19
29-03-2012,87.12,32.12
30-03-2012,85.65,32.26
02-04-2012,88.38,32.29
03-04-2012,89.9,31.94
04-04-2012,89.19,31.21
05-04-2012,90.53,31.52
09-04-2012,90.89,31.1
10-04-2012,89.78,30.47
11-04-2012,89.46,30.34
12-04-2012,88.97,30.98
13-04-2012,86.46,30.81
16-04-2012,82.88,31.08
17-04-2012,87.1,31.44
18-04-2012,86.91,31.14
19-04-2012,83.92,31.01
20-04-2012,81.85,32.42
23-04-2012,81.67,32.12
24-04-2012,80.04,31.92
25-04-2012,87.14,32.2
26-04-2012,86.81,32.11
27-04-2012,86.14,31.98
30-04-2012,83.43,32.02
01-05-2012,83.16,32.01
